DATE,DESCRIPTION,AMOUNT,CATEGORY
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
01-01-2025,"Description with, comma",-123.45,Office Supplies
02-30-2025,Invalid date,999.99,Travel
13-15-2025,Bad month,-50,Utilities
03-15-2025,"Embedded ""quotes"" example",100.00,Software
04-01-2025,Missing Category,25.50,
05-01-2025,,75.25,Marketing
06-01-2025,VeryLargeAmount,999999999999.99,Sales Income
07-01-2025,Negative Income,-99999.99,Sales Income
08-01-2025,Unicode Café ☕,12.34,Meals
09-01-2025,"Trailing spaces   ",0,NULL
